ModeTag,ModifiersLabel,Competitor,seed,step,Trial,Arch,score,qps,ne
hardQPS_Q3500,modifiers_01,Skopt-GBRT,0,8,8,"[[1024, 1024], [1024, 1024, 1024], [512, 512, 512, 512, 512], [1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024]]",0.13929438059652074,2892.647313663576,0.4864534799042916
hardQPS_Q3500,modifiers_01,Skopt-GBRT,0,9,9,"[[128], [2048, 2048, 2048, 2048, 2048], [128, 128, 128, 128], [512, 512, 512], [64]]",0.129039065576634,4134.900500778681,0.4922495773927641
hardQPS_Q3500,modifiers_01,Skopt-GBRT,0,10,10,"[[2048, 2048]]",0.04405097031737031,7337.246109706405,0.5402831370178997
hardQPS_Q3500,modifiers_02,Random,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,Random,0,2,2,"[[512], [512, 512, 512, 512], [512, 512], [1024, 1024, 1024], [64]]",0.07350445650503094,8582.776243851382,0.5132535093413293
hardQPS_Q3500,modifiers_02,Random,0,3,3,"[[128, 128, 128], [128], [2048, 2048], [128], [512, 512, 512, 512, 512]]",0.11318884670324576,7144.078261431372,0.49126942892312164
hardQPS_Q3500,modifiers_02,Random,0,4,4,"[[2048, 2048, 2048, 2048]]",0.06848709653357286,2509.6965343099173,0.5160329912622734
hardQPS_Q3500,modifiers_02,Random,0,5,5,"[[512, 512, 512]]",-0.016751647132565883,24332.767868181814,0.5632529532207081
hardQPS_Q3500,modifiers_02,Random,0,6,6,"[[512, 512]]",-0.028270590940954476,29583.96961769822,0.5696341369998108
hardQPS_Q3500,modifiers_02,Random,0,7,7,"[[64, 64, 64, 64], [128, 128], [64, 64], [1024, 1024, 1024]]",0.044723205338347116,16931.37324787338,0.529197545195847
hardQPS_Q3500,modifiers_02,Random,0,8,8,"[[256, 256, 256, 256], [256, 256, 256, 256, 256], [64], [2048, 2048, 2048, 2048, 2048]]",0.1138400078067887,2996.6182501775693,0.4909087032575893
hardQPS_Q3500,modifiers_02,Random,0,9,9,"[[128, 128, 128, 128, 128]]",-0.0047137842336891205,43929.0629670672,0.5565843022798611
hardQPS_Q3500,modifiers_02,Random,0,10,10,"[[256, 256], [64, 64, 64], [128, 128], [128, 128], [512, 512, 512, 512]]",0.05421202355964895,19540.270817482724,0.5239409961646303
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,2,2,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,3,3,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,4,4,"[[256, 256], [512, 512], [256, 256], [64, 64], [64]]",0.008432990895149213,24475.549360454555,0.549301343911876
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,5,5,"[[256, 256], [512, 512], [256], [64, 64], [64]]",0.001029310954477013,25146.284816024312,0.5534027826487053
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,6,6,"[[256, 256], [512, 512], [64, 64], [64]]",-0.008058636089685546,27613.134629494787,0.5584372598740671
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,7,7,"[[256, 256], [512, 512], [64, 64], [64], [128]]",-0.0074699991887984185,27506.56496081327,0.5581111709282224
