competition,config_id,ModifiersLabel,Competitor,seed,best_score,best_qps,best_ne,best_arch,time_seconds
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GBRT,8,0.0012300735509715277,9938.7077018586,0.49221324822179435,"[[1280, 1280], [768, 768, 768, 768, 768], [1024, 1024], [640, 640, 640], [1728, 1728]]",2.2389602661132812
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GBRT,9,0.0018558867291418475,6254.791868715366,0.4919048353140265,"[[2304], [320, 320], [3328, 3328, 3328, 3328], [640], [256, 256, 256, 256, 256]]",2.715855598449707
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GP,0,0.001576692670742218,8615.94866565046,0.4920424275769991,"[[1472, 1472], [576, 576, 576, 576, 576], [256, 256, 256], [2304], [1920]]",7.8283851146698
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GP,1,0.00237204598337326,7093.999425429466,0.49165046199300727,"[[3392], [832, 832, 832, 832], [1536, 1536, 1536, 1536, 1536], [2112], [64, 64]]",7.680743932723999
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GP,2,0.002642616100803745,6197.937954340258,0.49151711977590057,"[[4096, 4096], [576], [4096], [64], [896]]",7.981650114059448
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GP,3,0.002161676831565802,7619.843869737228,0.49175413600320195,"[[2816, 2816], [704, 704, 704, 704], [1856, 1856], [128, 128, 128, 128], [1408, 1408, 1408]]",8.431910276412964
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GP,4,0.002129088907194375,6039.426044535674,0.4917701959662454,"[[1920, 1920, 1920, 1920], [1536, 1536], [384, 384], [1088, 1088, 1088], [256, 256]]",7.9459123611450195
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GP,5,0.00229714109445945,6529.273064300048,0.4916873765793435,"[[1920], [1216, 1216, 1216, 1216], [1408, 1408], [384, 384, 384, 384], [2304, 2304, 2304, 2304]]",6.662701606750488
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GP,6,0.0022598887368390666,6465.708273908395,0.49170573526582645,"[[1280, 1280], [1216, 1216, 1216, 1216], [1536], [1728, 1728], [256, 256, 256, 256]]",7.147746801376343
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GP,7,0.0027247397269810026,6179.6634354699045,0.49147664765541915,"[[2752, 2752], [640, 640, 640, 640], [3968, 3968], [192], [832, 832]]",8.191675424575806
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GP,8,0.0023283323178788806,7290.8941569198105,0.4916720049376984,"[[4096], [576, 576], [4096], [768, 768, 768, 768, 768], [1728]]",9.02409315109253
