ModeTag,ModifiersLabel,Competitor,seed,step,Trial,Arch,score,qps,ne
hardQPS_Q3500,modifiers_01,Skopt-ET,0,9,9,"[[128], [2048, 2048, 2048, 2048, 2048], [128, 128, 128, 128], [512, 512, 512], [64]]",0.129039065576634,4134.900500778681,0.4922495773927641
hardQPS_Q3500,modifiers_01,Skopt-ET,0,10,10,"[[2048, 2048]]",0.04405097031737031,7337.246109706405,0.5402831370178997
hardQPS_Q3500,modifiers_01,Skopt-ET,0,11,11,"[[1024, 1024, 1024], [128, 128, 128, 128, 128], [64, 64, 64, 64], [2048, 2048, 2048, 2048, 2048], [2048]]",0.14577613244761917,1867.439163054194,0.48279012431236673
hardQPS_Q3500,modifiers_01,Skopt-GBRT,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26435.85019656983,0.5651798581743118
hardQPS_Q3500,modifiers_01,Skopt-GBRT,0,2,2,"[[2048, 2048, 2048, 2048]]",0.11354232823973595,3098.2424264863726,0.5010080212029967
hardQPS_Q3500,modifiers_01,Skopt-GBRT,0,3,3,"[[2048, 2048, 2048], [64, 64], [128], [1024, 1024], [512, 512]]",0.1300891086538715,3556.264662305906,0.4916561141952941
hardQPS_Q3500,modifiers_01,Skopt-GBRT,0,4,4,"[[128, 128, 128, 128]]",0.0026498047475958723,45778.5167027435,0.563682241902876
hardQPS_Q3500,modifiers_01,Skopt-GBRT,0,5,5,"[[1024, 1024]]",0.006166179499052343,18356.742461794824,0.5616948577195601
hardQPS_Q3500,modifiers_01,Skopt-GBRT,0,6,6,"[[128], [1024], [128, 128, 128, 128, 128]]",-0.003047272020148868,33721.45412608893,0.5669021149424781
hardQPS_Q3500,modifiers_01,Skopt-GBRT,0,7,7,"[[512, 512]]",-0.008054972915915495,32214.75966610524,0.5697323666245269
hardQPS_Q3500,modifiers_01,Skopt-GBRT,0,8,8,"[[1024, 1024], [1024, 1024, 1024], [512, 512, 512, 512, 512], [1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024]]",0.13929438059652074,2892.647313663576,0.4864534799042916
hardQPS_Q3500,modifiers_01,Skopt-GBRT,0,9,9,"[[128], [2048, 2048, 2048, 2048, 2048], [128, 128, 128, 128], [512, 512, 512], [64]]",0.129039065576634,4134.900500778681,0.4922495773927641
hardQPS_Q3500,modifiers_01,Skopt-GBRT,0,10,10,"[[2048, 2048]]",0.04405097031737031,7337.246109706405,0.5402831370178997
hardQPS_Q3500,modifiers_01,Skopt-GBRT,0,11,11,"[[1024, 1024, 1024, 1024], [256, 256, 256], [512, 512], [512, 512, 512, 512], [128, 128, 128, 128, 128]]",0.13200799270396726,6388.278060523021,0.490571599580008
hardQPS_Q3500,modifiers_02,Random,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,Random,0,2,2,"[[512], [512, 512, 512, 512], [512, 512], [1024, 1024, 1024], [64]]",0.07350445650503094,8582.776243851382,0.5132535093413293
hardQPS_Q3500,modifiers_02,Random,0,3,3,"[[128, 128, 128], [128], [2048, 2048], [128], [512, 512, 512, 512, 512]]",0.11318884670324576,7144.078261431372,0.49126942892312164
hardQPS_Q3500,modifiers_02,Random,0,4,4,"[[2048, 2048, 2048, 2048]]",0.06848709653357286,2509.6965343099173,0.5160329912622734
hardQPS_Q3500,modifiers_02,Random,0,5,5,"[[512, 512, 512]]",-0.016751647132565883,24332.767868181814,0.5632529532207081
hardQPS_Q3500,modifiers_02,Random,0,6,6,"[[512, 512]]",-0.028270590940954476,29583.96961769822,0.5696341369998108
hardQPS_Q3500,modifiers_02,Random,0,7,7,"[[64, 64, 64, 64], [128, 128], [64, 64], [1024, 1024, 1024]]",0.044723205338347116,16931.37324787338,0.529197545195847
hardQPS_Q3500,modifiers_02,Random,0,8,8,"[[256, 256, 256, 256], [256, 256, 256, 256, 256], [64], [2048, 2048, 2048, 2048, 2048]]",0.1138400078067887,2996.6182501775693,0.4909087032575893
hardQPS_Q3500,modifiers_02,Random,0,9,9,"[[128, 128, 128, 128, 128]]",-0.0047137842336891205,43929.0629670672,0.5565843022798611
hardQPS_Q3500,modifiers_02,Random,0,10,10,"[[256, 256], [64, 64, 64], [128, 128], [128, 128], [512, 512, 512, 512]]",0.05421202355964895,19540.270817482724,0.5239409961646303
hardQPS_Q3500,modifiers_02,Random,0,11,11,"[[64, 64, 64, 64], [2048, 2048, 2048, 2048], [128, 128, 128, 128, 128]]",0.11113539689848646,3102.6443430039258,0.4924069846576838
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,2,2,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,3,3,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,4,4,"[[256, 256], [512, 512], [256, 256], [64, 64], [64]]",0.008432990895149213,24475.549360454555,0.549301343911876
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,5,5,"[[256, 256], [512, 512], [256], [64, 64], [64]]",0.001029310954477013,25146.284816024312,0.5534027826487053
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,6,6,"[[256, 256], [512, 512], [64, 64], [64]]",-0.008058636089685546,27613.134629494787,0.5584372598740671
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,7,7,"[[256, 256], [512, 512], [64, 64], [64], [128]]",-0.0074699991887984185,27506.56496081327,0.5581111709282224
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,8,8,"[[256, 256], [1024, 1024], [64, 64], [64], [128]]",0.004725614777847778,16646.32321710345,0.5513551301561954
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,9,9,"[[1024, 1024], [64, 64], [64], [128]]",-0.004572647517935747,15518.394088615132,0.5565061163509962
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,10,10,"[[1024, 1024], [64, 64], [64], [128, 128]]",0.0038975449891307514,15448.965646010956,0.5518138584555624
hardQPS_Q3500,modifiers_02,SimulatedAnnealing,0,11,11,"[[1024, 1024], [64], [64], [128, 128]]",-0.005588940481354969,15469.746047883864,0.5570691152058274
hardQPS_Q3500,modifiers_02,LogSpaceSimulatedAnnealing,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,LogSpaceSimulatedAnnealing,0,2,2,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,LogSpaceSimulatedAnnealing,0,3,3,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,LogSpaceSimulatedAnnealing,0,4,4,"[[256, 256, 256], [512, 512], [256, 256], [64], [64]]",0.010761677483758239,23520.155964429516,0.5480113144323482
hardQPS_Q3500,modifiers_02,LogSpaceSimulatedAnnealing,0,5,5,"[[128, 128, 128], [512, 512], [256, 256], [64], [64]]",0.007597033285734031,28298.26942829251,0.5497644418508844
hardQPS_Q3500,modifiers_02,LogSpaceSimulatedAnnealing,0,6,6,"[[128, 128], [512, 512], [256, 256], [64], [64]]",-0.002988233936244067,28650.3958849233,0.5556283940168081
hardQPS_Q3500,modifiers_02,LogSpaceSimulatedAnnealing,0,7,7,"[[128, 128], [256, 256], [256, 256], [64], [64]]",-0.00864569376414918,36898.140398548334,0.5587624739711232
hardQPS_Q3500,modifiers_02,LogSpaceSimulatedAnnealing,0,8,8,"[[128, 128], [256, 256], [256, 256], [64], [128]]",-0.008057056863262054,36708.09912972754,0.5584363850252785
hardQPS_Q3500,modifiers_02,LogSpaceSimulatedAnnealing,0,9,9,"[[128, 128], [256, 256], [256, 256], [64], [64]]",-0.00864569376414918,36898.140398548334,0.5587624739711232
hardQPS_Q3500,modifiers_02,LogSpaceSimulatedAnnealing,0,10,10,"[[64, 64], [256, 256], [256, 256], [64], [64]]",-0.009996931526957926,39712.546268536316,0.5595110231990018
hardQPS_Q3500,modifiers_02,LogSpaceSimulatedAnnealing,0,11,11,"[[64, 64], [256, 256], [256, 256], [128], [64]]",-0.00851100485530735,38875.08204860386,0.5586878599531522
hardQPS_Q3500,modifiers_02,TPE,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,TPE,0,2,2,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,TPE,0,3,3,"[[512, 512, 512, 512], [256, 256, 256], [256, 256, 256, 256]]",0.04753036977200781,16415.606045338995,0.5276424519123548
hardQPS_Q3500,modifiers_02,TPE,0,4,4,"[[2048, 2048, 2048], [64], [1024]]",0.07669203758255913,3514.140221932854,0.5114876755110015
hardQPS_Q3500,modifiers_02,TPE,0,5,5,"[[64, 64, 64, 64], [64, 64, 64, 64], [512, 512, 512, 512, 512]]",0.062460895964350824,25229.72328387308,0.5193713436287408
hardQPS_Q3500,modifiers_02,TPE,0,6,6,"[[512], [512, 512, 512, 512], [1024, 1024, 1024, 1024, 1024]]",0.09116918877260805,7148.70673818002,0.5034677247344137
hardQPS_Q3500,modifiers_02,TPE,0,7,7,"[[128, 128, 128, 128], [128], [512, 512], [2048, 2048, 2048]]",0.10065997532065846,5051.8044727358165,0.4982100853033366
hardQPS_Q3500,modifiers_02,TPE,0,8,8,"[[128, 128, 128, 128]]",-0.015302354515406156,44832.22427300673,0.5624500842516749
hardQPS_Q3500,modifiers_02,TPE,0,9,9,"[[2048], [2048], [2048, 2048, 2048], [1024, 1024, 1024, 1024], [128]]",0.12214472684448976,1894.829698930667,0.4863081131952616
hardQPS_Q3500,modifiers_02,TPE,0,10,10,"[[64, 64]]",-0.03773927152513204,49712.819368515,0.5748795303239155
hardQPS_Q3500,modifiers_02,TPE,0,11,11,"[[128, 128, 128, 128, 128], [64, 64, 64, 64], [128, 128, 128, 128]]",0.047413869859274885,41525.5061598625,0.5277069897177096
hardQPS_Q3500,modifiers_02,Skopt-Random,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,Skopt-Random,0,2,2,"[[2048, 2048, 2048, 2048]]",0.06848709653357286,2509.6965343099173,0.5160329912622734
hardQPS_Q3500,modifiers_02,Skopt-Random,0,3,3,"[[2048, 2048, 2048], [64, 64], [128], [1024, 1024], [512, 512]]",0.11030060471065367,3021.675647411038,0.4928694369846099
hardQPS_Q3500,modifiers_02,Skopt-Random,0,4,4,"[[128, 128, 128, 128]]",-0.015302354515406156,44832.22427300673,0.5624500842516749
hardQPS_Q3500,modifiers_02,Skopt-Random,0,5,5,"[[1024, 1024]]",-0.015591397530070107,15849.148951609117,0.5626102062756484
hardQPS_Q3500,modifiers_02,Skopt-Random,0,6,6,"[[128], [1024], [128, 128, 128, 128, 128]]",0.001351566239860789,33124.162710379125,0.5532242619237129
hardQPS_Q3500,modifiers_02,Skopt-Random,0,7,7,"[[512, 512]]",-0.028270590940954476,29583.96961769822,0.5696341369998108
hardQPS_Q3500,modifiers_02,Skopt-Random,0,8,8,"[[1024, 1024], [1024, 1024, 1024], [512, 512, 512, 512, 512], [1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024]]",0.12082721806721732,2576.7070002580153,0.4870379774760678
hardQPS_Q3500,modifiers_02,Skopt-Random,0,9,9,"[[128], [2048, 2048, 2048, 2048, 2048], [128, 128, 128, 128], [512, 512, 512], [64]]",0.112293165129633,2308.441448501689,0.49176561232533744
hardQPS_Q3500,modifiers_02,Skopt-Random,0,10,10,"[[2048, 2048]]",0.01571209064153556,6047.27836643899,0.5452689192381586
hardQPS_Q3500,modifiers_02,Skopt-Random,0,11,11,"[[256, 256]]",-0.03386704997766685,40623.8170502311,0.5727344241632463
hardQPS_Q3500,modifiers_02,Skopt-GP,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,24518.105708470106,0.5539729931190072
hardQPS_Q3500,modifiers_02,Skopt-GP,0,2,2,"[[128, 128, 128, 128], [64, 64, 64, 64], [128, 128, 128, 128]]",0.03682567250010785,42326.72269607256,0.5335725651005021
